transaction_id,account_id,merchant_id,amount,transaction_date,transaction_type,is_fraud
53,3426,73,16.97,2023-04-01,transfer,0
54,1541,49,119.0,2023-10-22,withdrawal,0
55,6784,66,20.58,2023-01-22,withdrawal,0
56,4454,90,37.67,2023-07-01,payment,0
57,4730,49,31.05,2023-09-02,withdrawal,0
58,5628,21,48.39,2024-11-02,withdrawal,0
59,7204,79,33.88,2023-01-09,withdrawal,0
60,2119,52,330.46,2023-03-25,payment,0
61,6199,37,24.51,2023-05-28,payment,0
62,3994,95,15.63,2024-03-19,payment,0
63,905,74,26.27,2024-12-28,withdrawal,0
64,298,22,22.01,2024-03-23,payment,0
65,4126,92,465.95,2023-05-03,payment,0
66,2200,75,97.87,2024-04-08,payment,0
67,1810,15,27.62,2024-05-10,withdrawal,0
68,6863,82,208.62,2023-10-31,withdrawal,0
69,5816,53,43.65,2023-12-13,payment,0
70,5325,80,6.19,2023-04-30,transfer,0
71,4510,55,14.48,2024-12-18,payment,0
72,1398,24,72.84,2023-01-20,payment,0
73,5833,97,114.41,2023-01-19,withdrawal,0
74,4109,43,5.73,2023-09-25,payment,0
75,3702,74,54.68,2024-08-03,withdrawal,0
76,7228,75,34.21,2023-03-12,payment,0
77,1967,83,170.8,2023-02-23,withdrawal,0
78,493,88,7.13,2024-02-19,payment,0
79,6034,86,25.64,2024-02-11,payment,0
80,4188,21,495.09,2024-04-04,withdrawal,0
81,381,49,37.0,2023-03-31,withdrawal,0
82,739,98,489.25,2024-07-05,payment,0
83,3496,34,29.53,2023-06-28,withdrawal,0
84,2164,85,142.62,2023-11-22,withdrawal,0
85,4644,28,23.55,2024-08-19,withdrawal,0
86,427,76,53.86,2024-03-28,withdrawal,1
87,526,11,229.62,2024-08-19,payment,0
88,3274,10,15.9,2023-07-15,payment,0
89,843,26,45.33,2024-10-25,payment,0
90,269,100,13.05,2024-08-30,payment,0
91,942,42,485.49,2024-02-15,payment,0
92,5929,62,21.41,2024-10-11,transfer,0
93,7407,94,58.01,2023-04-18,payment,0
94,4583,13,149.42,2024-07-31,withdrawal,1
95,5004,35,394.12,2023-05-17,payment,0
96,6547,30,44.84,2024-07-26,payment,0
97,4680,69,454.1,2024-11-25,payment,0
98,1964,73,45.24,2023-11-25,withdrawal,0
99,539,55,256.62,2023-08-05,payment,0
100,3534,13,126.95,2023-12-20,withdrawal,0
101,962,57,24.9,2024-12-04,payment,0
102,2265,72,138.52,2023-02-26,withdrawal,0
103,5271,42,262.22,2024-09-07,withdrawal,0
104,1562,93,29.18,2024-03-12,payment,0
105,4901,73,292.68,2023-02-02,payment,0
106,930,26,324.03,2023-05-09,withdrawal,0
107,4054,45,36.77,2024-12-07,payment,0
108,2696,80,12.69,2023-07-19,withdrawal,0
109,2961,49,270.9,2024-03-17,withdrawal,0
110,6763,12,382.13,2023-01-13,withdrawal,0
111,6330,20,22.4,2024-01-27,payment,0
112,5076,60,37.93,2023-08-07,payment,0
113,988,8,41.99,2023-07-07,payment,0
114,3048,51,447.49,2024-11-17,payment,0
115,306,54,86.77,2024-02-21,transfer,0
116,7268,66,33.32,2024-10-24,withdrawal,0
117,4002,85,27.78,2024-03-15,withdrawal,0
118,2189,50,194.58,2024-03-12,withdrawal,0
119,4642,21,146.88,2023-08-24,payment,1
120,3219,63,46.91,2024-05-07,withdrawal,0
121,2458,42,36.08,2023-09-29,payment,0
122,240,11,184.9,2024-08-29,payment,0
123,3233,20,50.61,2024-10-23,withdrawal,0
124,639,43,36.07,2024-01-01,payment,0
125,5993,74,73.23,2023-02-10,payment,0
126,3982,62,199.14,2023-04-07,payment,0
127,2016,48,124.68,2024-04-21,payment,0
128,1087,11,471.24,2023-05-24,payment,0
129,4724,71,35.94,2024-05-06,payment,0
130,6585,22,120.3,2023-10-06,payment,0
131,894,86,42.84,2023-06-08,payment,0
132,5493,14,170.89,2024-04-05,payment,0
133,2458,78,66.8,2023-10-17,payment,0
134,3074,57,37.93,2023-02-17,transfer,0
135,3250,18,410.03,2024-12-19,payment,0
136,7116,5,73.48,2024-03-21,transfer,0
137,6849,53,348.07,2024-10-20,payment,0
138,1723,100,16.26,2023-02-08,withdrawal,0
139,584,98,5.42,2023-08-29,payment,0
140,3517,29,163.89,2023-10-21,payment,0
141,567,92,188.98,2023-02-28,withdrawal,0
142,2843,12,11.0,2024-04-09,payment,0
143,2693,28,31.66,2024-03-14,payment,0
144,6294,49,12.09,2024-05-22,withdrawal,0
145,5819,70,45.55,2023-03-14,payment,0
146,3783,85,10.34,2024-04-11,transfer,0
147,5621,46,460.26,2024-11-19,payment,0
148,2608,66,44.68,2024-05-02,withdrawal,0
149,3053,5,161.8,2024-04-02,payment,0
150,5543,34,39.32,2023-03-05,payment,1
151,5269,17,14.56,2023-08-11,withdrawal,0
152,6713,16,20.19,2023-02-03,payment,0
153,872,74,18.03,2024-05-29,payment,0
154,6735,14,318.05,2024-09-24,payment,0
155,1446,59,184.36,2023-05-10,transfer,0
156,7245,86,20.2,2023-02-25,withdrawal,0
157,977,81,15.93,2024-03-12,withdrawal,0
158,37,8,27.06,2024-09-27,payment,0
159,1651,65,499.97,2023-01-19,payment,0
160,5887,16,6.4,2023-11-04,withdrawal,0
161,6516,39,154.19,2023-08-11,withdrawal,0
162,1929,95,209.41,2024-06-27,withdrawal,0
163,5444,2,130.48,2024-01-18,payment,0
164,648,12,126.87,2024-10-12,withdrawal,0
165,6826,87,24.92,2023-01-12,withdrawal,0
166,6244,2,5.55,2023-08-04,payment,0
167,1620,43,13.76,2023-04-06,payment,0
168,1432,77,88.04,2024-02-28,withdrawal,1
169,1146,29,125.05,2023-03-01,withdrawal,0
170,3850,91,16.0,2023-09-01,payment,0
171,5231,78,17.65,2024-07-02,withdrawal,0
172,2108,27,289.45,2024-02-03,withdrawal,0
173,2149,14,151.82,2023-07-06,payment,0
174,5506,72,130.04,2023-05-03,payment,0
175,2722,91,332.55,2024-06-22,withdrawal,0
176,4203,95,41.61,2023-05-01,payment,0
177,3365,9,300.19,2023-06-19,withdrawal,0
178,3739,37,30.8,2023-01-15,withdrawal,0
179,7082,16,56.79,2024-07-03,payment,0
180,1397,82,8.26,2024-02-29,withdrawal,0
181,5638,46,214.67,2023-03-03,withdrawal,0
182,5048,96,5.69,2024-01-19,withdrawal,0
183,5918,94,6.96,2024-11-13,withdrawal,0
184,1908,2,24.0,2023-01-15,withdrawal,0
185,7288,63,184.05,2023-08-27,payment,0
186,1080,85,24.37,2024-04-02,payment,0
187,1566,36,81.46,2024-11-25,payment,0
188,5113,66,22.39,2024-05-28,payment,0
189,5698,33,18.9,2023-06-09,withdrawal,0
190,615,52,30.66,2023-11-28,payment,0
191,420,66,189.26,2023-08-25,payment,0
192,1949,4,131.98,2024-12-09,payment,0
193,4145,62,9.89,2024-10-30,payment,0
194,1733,70,26.94,2024-01-05,withdrawal,0
195,4837,47,93.31,2023-11-24,transfer,0
196,3501,13,33.56,2023-05-08,payment,0
197,3473,60,20.43,2023-02-24,payment,0
198,6721,65,34.31,2024-11-26,transfer,0
199,2726,83,22.3,2023-10-10,withdrawal,0
200,5740,94,40.5,2024-06-02,payment,0
201,4051,27,132.99,2023-07-13,payment,0
202,2993,84,32.05,2023-03-17,transfer,0
203,1835,9,85.13,2024-07-30,payment,0
204,3480,32,7.65,2023-05-10,payment,0
205,420,7,334.95,2024-07-10,payment,1
206,5374,32,183.71,2024-12-17,transfer,0
207,420,44,9.12,2024-06-11,payment,0
208,5782,5,45.22,2023-07-30,withdrawal,0
209,3196,68,102.99,2024-05-31,payment,0
210,4148,27,28.73,2023-12-02,withdrawal,0
211,6070,22,170.86,2024-07-21,payment,0
212,5811,68,33.16,2023-03-04,payment,0
213,2853,100,342.42,2023-02-13,payment,0
214,2791,63,121.88,2023-12-21,withdrawal,0
215,2154,10,48.69,2024-05-11,withdrawal,0
216,873,7,130.38,2023-12-05,withdrawal,0
217,2351,37,36.57,2024-12-10,payment,0
218,5288,59,6.87,2024-11-10,withdrawal,0
219,6772,75,32.66,2024-08-30,payment,0
220,987,22,25.74,2023-04-30,payment,0
221,3424,38,327.35,2024-04-15,payment,0
222,2348,51,29.81,2024-02-04,withdrawal,0
223,4514,68,280.43,2023-05-20,payment,0
224,2542,68,18.0,2024-01-02,payment,0
225,4900,92,46.56,2023-02-27,withdrawal,0
226,6160,43,47.41,2023-02-10,payment,0
227,3402,14,48.7,2024-01-06,payment,0
228,3386,2,19.74,2023-04-30,transfer,0
229,74,36,388.06,2024-04-25,payment,0
230,7069,40,5.09,2023-12-20,withdrawal,0
231,6719,21,128.02,2023-01-08,payment,0
232,3611,86,110.64,2023-07-13,withdrawal,0
233,6997,70,34.76,2024-03-23,payment,0
234,376,27,15.86,2023-07-04,payment,0
235,3584,44,9.22,2024-02-01,withdrawal,0
236,2395,12,196.64,2024-03-02,payment,0
237,1910,37,31.21,2024-04-16,payment,0
238,898,61,122.39,2023-05-03,withdrawal,0
239,5343,51,133.28,2023-10-06,payment,0
240,3653,100,19.71,2024-09-29,payment,0
241,4015,53,24.61,2024-05-18,payment,0
242,3468,2,134.51,2024-12-06,payment,0
243,6169,16,41.45,2023-07-24,withdrawal,0
244,5574,7,193.0,2024-05-23,payment,0
245,3345,55,62.47,2023-04-13,payment,0
246,1827,30,9.03,2024-09-04,withdrawal,0
247,2342,44,42.36,2024-05-04,payment,0
248,395,92,26.2,2023-09-11,payment,0
249,1182,24,161.0,2024-04-25,withdrawal,0
250,2163,43,97.96,2023-12-16,payment,0
251,6222,81,13.41,2024-10-29,payment,0
252,3909,40,196.95,2024-08-31,payment,0
253,5529,37,135.35,2023-06-12,payment,0
254,6399,21,7.4,2024-01-10,payment,0
255,1631,50,131.48,2023-02-03,withdrawal,0
256,585,63,142.72,2023-04-16,withdrawal,0
257,2178,1,113.34,2024-09-29,payment,0
258,2526,63,73.28,2024-12-30,payment,0
259,711,24,12.24,2023-10-11,payment,1
260,529,73,46.06,2024-12-05,withdrawal,0
261,1525,66,14.89,2024-06-03,transfer,0
262,6753,41,345.06,2024-01-04,payment,0
263,7419,45,7.96,2024-10-24,payment,0
264,1226,57,8.95,2023-10-16,payment,0
265,5729,17,7.28,2024-06-01,payment,0
266,7394,42,45.89,2024-01-22,payment,0
267,6579,74,190.62,2023-01-25,transfer,0
268,6892,75,57.42,2024-12-30,payment,0
269,5991,42,163.64,2023-12-13,withdrawal,0
270,5857,71,36.65,2023-05-27,transfer,0
271,2051,81,115.65,2024-07-06,payment,0
272,2249,56,37.45,2024-06-23,transfer,0
273,6421,36,117.38,2024-11-01,withdrawal,0
274,64,64,160.25,2024-02-08,payment,0
275,4682,82,8.25,2023-08-16,payment,0
276,5524,89,39.85,2023-08-21,withdrawal,0
277,5064,37,362.31,2023-04-26,payment,0
278,3377,97,304.79,2023-01-15,payment,0
279,4002,50,13.61,2024-03-13,transfer,0
280,6620,15,421.58,2023-07-14,payment,0
281,843,76,301.74,2024-03-09,payment,0
282,7231,80,388.21,2024-05-07,withdrawal,0
283,1728,97,153.95,2023-08-04,payment,1
284,6752,51,137.54,2023-03-27,payment,0
285,1616,73,122.43,2023-04-13,payment,0
286,4048,93,116.14,2024-04-23,payment,0
287,7334,24,362.72,2023-03-16,payment,0
288,6332,3,25.93,2024-07-18,payment,0
289,548,87,22.81,2023-12-05,withdrawal,0
290,4669,54,17.74,2023-09-13,payment,0
291,2655,80,8.45,2023-05-12,payment,0
292,2673,25,173.76,2024-07-15,payment,0
293,15,51,319.36,2024-12-19,withdrawal,0
294,6047,73,178.63,2024-03-30,payment,0
295,6242,81,31.9,2024-03-12,payment,0
296,1700,5,190.17,2024-12-15,payment,0
297,2262,32,181.53,2024-02-10,withdrawal,0
298,1455,99,45.54,2023-09-07,payment,0
299,4624,77,46.61,2023-11-29,payment,0
300,6517,44,257.37,2024-04-11,payment,0
301,6667,13,40.87,2023-03-06,payment,0
302,3614,88,131.48,2023-10-02,payment,0
303,4362,22,225.1,2023-11-13,payment,0
304,360,43,76.05,2023-12-27,withdrawal,0
305,5564,60,23.09,2024-03-09,withdrawal,0
306,1959,32,13.98,2023-06-16,payment,0
307,782,14,309.8,2023-02-26,payment,0
308,6128,100,30.81,2023-05-10,withdrawal,0
309,7211,15,19.58,2024-08-04,payment,0
310,4116,16,42.86,2023-08-22,payment,0
311,4763,29,12.47,2024-11-30,payment,0
312,3145,94,13.52,2024-01-18,payment,0
313,541,94,84.77,2023-10-23,payment,0
314,3678,70,15.09,2024-10-15,payment,0
315,652,16,49.7,2023-04-11,payment,0
316,1328,75,293.74,2024-02-11,payment,0
317,4237,61,108.86,2024-09-17,payment,0
318,3091,94,9.23,2024-03-01,withdrawal,0
319,4751,48,82.01,2024-06-14,withdrawal,0
320,3964,28,29.4,2024-11-04,payment,0
321,600,88,18.61,2023-10-02,payment,0
322,627,84,120.05,2024-06-16,transfer,0
323,7211,72,145.71,2024-11-03,withdrawal,0
324,4962,70,99.21,2023-09-25,transfer,0
325,4275,8,65.72,2024-10-25,payment,0
326,3777,8,289.67,2024-11-23,payment,0
327,4320,38,115.24,2023-08-15,payment,0
328,2321,21,197.72,2024-06-19,payment,0
329,6267,3,14.78,2023-03-13,payment,0
330,6999,6,146.1,2023-07-24,transfer,0
331,1696,14,158.36,2023-08-14,payment,0
332,549,9,37.14,2023-09-15,payment,0
333,1402,73,165.38,2024-01-22,payment,0
334,1087,19,42.39,2024-01-23,transfer,0
335,2792,62,13.46,2024-03-12,payment,0
336,6305,40,10.46,2024-09-03,withdrawal,0
337,5804,56,71.22,2023-03-25,withdrawal,0
338,6858,97,199.83,2024-10-31,withdrawal,0
339,1791,80,22.11,2023-08-18,transfer,0
340,6562,29,324.98,2024-05-03,transfer,0
341,6038,27,186.06,2024-02-18,transfer,0
342,2964,33,19.33,2023-04-28,payment,0
343,4490,45,39.84,2023-11-07,transfer,0
344,971,40,104.05,2024-10-05,withdrawal,0
345,4625,89,30.81,2024-06-30,withdrawal,0
346,3303,41,18.24,2024-11-03,payment,0
347,584,2,19.75,2024-11-30,transfer,0
348,7325,41,247.01,2023-12-19,payment,0
349,2967,79,26.22,2024-12-15,payment,0
350,4634,5,117.84,2024-11-05,payment,0
351,1282,87,8.55,2024-02-23,payment,0
352,6892,43,10.2,2024-04-07,payment,0
353,5562,50,25.97,2024-02-24,payment,0
354,1468,32,138.97,2024-01-06,payment,0
355,2152,80,291.48,2024-03-29,withdrawal,0
356,5173,34,33.68,2024-02-12,payment,0
357,2018,17,38.5,2023-06-29,payment,0
358,7358,76,56.42,2023-07-27,payment,0
359,3432,72,192.74,2023-08-23,payment,0
360,4311,23,99.18,2023-08-03,payment,0
361,320,16,40.75,2024-08-07,withdrawal,0
362,618,40,101.53,2023-11-25,payment,0
363,2168,40,19.32,2024-06-28,withdrawal,0
364,992,19,34.32,2023-07-30,withdrawal,0
365,3190,49,82.47,2023-05-26,payment,0
366,5874,36,167.48,2024-01-12,payment,0
367,6541,2,38.72,2024-05-27,payment,0
368,1557,9,140.03,2024-04-14,payment,0
369,5000,83,391.97,2024-04-09,payment,0
370,2754,27,19.45,2023-06-02,payment,0
371,1664,92,13.64,2023-05-07,payment,1
372,5827,8,23.61,2024-06-14,payment,0
373,2184,99,69.53,2023-02-20,payment,0
374,2125,17,11.8,2024-12-19,payment,0
375,2480,48,441.34,2023-10-10,transfer,0
376,2351,68,106.65,2023-09-07,payment,0
377,1175,76,17.43,2024-10-31,withdrawal,0
378,5574,5,36.33,2023-10-28,withdrawal,0
379,5491,97,50.63,2023-06-28,payment,0
380,2977,43,193.47,2023-10-24,payment,0
381,4888,55,193.97,2024-01-25,payment,0
382,5061,6,155.09,2024-06-22,payment,0
383,698,25,100.76,2024-02-22,payment,0
384,3609,69,153.19,2024-04-07,withdrawal,0
385,2947,91,460.35,2024-02-04,payment,0
386,2436,66,146.6,2024-04-07,payment,0
387,1950,4,44.28,2024-09-20,payment,0
388,6016,96,313.75,2024-06-22,payment,0
389,3322,82,47.57,2023-07-16,payment,0
390,6138,86,32.02,2024-09-20,payment,0
391,4056,71,6.48,2024-01-28,payment,0
392,776,12,210.6,2023-02-02,withdrawal,0
393,4718,7,63.59,2023-01-30,withdrawal,0
394,4376,51,19.18,2024-09-26,payment,0
395,5399,79,128.23,2023-01-29,payment,0
396,205,60,33.76,2023-09-25,payment,0
397,2096,12,190.5,2024-12-02,payment,0
398,1171,26,258.92,2024-08-06,withdrawal,0
399,1237,35,188.34,2023-07-08,withdrawal,0
400,5870,43,175.36,2024-12-19,withdrawal,0
401,5156,93,35.5,2023-05-03,transfer,0
402,1897,99,104.04,2024-05-29,payment,0
403,1035,32,150.96,2023-09-10,withdrawal,1
404,1258,29,19.69,2024-05-04,payment,0
405,1583,40,12.06,2023-08-16,payment,0
406,3647,16,18.41,2023-05-16,withdrawal,0
407,3597,100,7.36,2024-02-24,payment,0
408,2559,19,192.18,2024-05-24,payment,0
409,2580,88,35.33,2024-07-24,payment,0
410,4969,35,243.72,2023-11-15,payment,0
411,1010,50,34.72,2024-07-06,payment,0
412,981,48,133.3,2023-11-29,transfer,0
413,6376,19,395.28,2024-10-15,payment,0
414,374,35,420.68,2024-01-22,withdrawal,0
415,5689,62,90.84,2024-01-26,withdrawal,0
416,1951,17,23.07,2023-09-22,withdrawal,0
417,485,85,19.24,2023-04-23,withdrawal,0
418,1568,48,409.96,2023-09-04,payment,0
419,916,78,51.73,2023-12-09,withdrawal,0
420,694,49,103.54,2024-01-27,payment,0
421,1912,76,54.68,2024-11-06,withdrawal,0
422,6748,57,470.31,2024-01-25,transfer,0
423,753,46,132.39,2024-08-18,payment,0
424,2093,53,348.38,2023-11-29,withdrawal,0
425,4295,75,168.8,2024-01-14,withdrawal,0
426,2835,44,40.45,2024-12-20,withdrawal,0
427,5553,89,165.13,2024-07-06,payment,0
428,4603,59,37.74,2024-01-20,payment,1
429,797,70,44.47,2023-07-23,withdrawal,0
430,6711,84,6.58,2024-09-28,payment,0
431,1700,30,48.87,2023-06-16,payment,0
432,2959,30,20.01,2023-12-16,payment,0
433,980,71,97.71,2024-01-06,payment,0
434,6311,83,8.96,2023-01-16,payment,0
435,4959,55,126.18,2023-12-24,payment,0
436,5942,92,67.92,2024-03-14,payment,0
437,3703,25,59.05,2024-09-23,payment,0
438,935,89,215.3,2023-07-20,withdrawal,1
439,3404,43,39.16,2023-01-04,withdrawal,0
440,2495,6,157.82,2023-12-20,payment,0
441,4697,37,227.89,2023-07-07,payment,0
442,3801,34,409.49,2024-09-18,payment,0
443,2693,79,37.56,2024-04-10,payment,0
444,6300,12,277.84,2023-07-14,payment,0
445,3384,84,17.52,2023-01-23,transfer,0
446,7411,29,126.67,2023-06-29,payment,0
447,2227,87,36.62,2023-10-01,payment,0
448,91,69,115.93,2023-03-24,payment,0
449,4514,54,196.4,2024-01-11,withdrawal,0
450,6854,35,13.49,2023-09-12,payment,0
451,2617,15,20.91,2024-01-21,transfer,0
452,6030,73,39.1,2024-07-03,withdrawal,0
453,2773,54,6.6,2023-09-21,payment,0
454,5852,81,317.03,2023-11-21,payment,0
455,5765,39,27.87,2024-12-01,payment,0
456,1386,23,41.35,2024-04-27,withdrawal,0
457,6780,46,32.14,2023-05-24,payment,0
458,5104,55,80.59,2023-01-02,withdrawal,0
459,6890,10,137.04,2024-09-06,withdrawal,0
460,4277,57,38.5,2024-07-30,payment,0
461,7439,59,29.06,2024-12-28,payment,0
462,3903,100,31.62,2023-04-02,withdrawal,0
463,5098,46,38.77,2024-07-22,withdrawal,0
464,4634,42,48.27,2023-07-29,withdrawal,0
465,7219,59,436.3,2023-02-26,payment,0
466,6678,25,135.4,2024-08-21,withdrawal,0
467,233,59,259.6,2023-03-18,payment,0
468,2430,94,48.55,2024-04-24,payment,0
469,5752,33,49.96,2024-07-13,payment,0
470,2533,15,178.7,2024-01-18,payment,0
471,1291,8,36.47,2024-08-11,transfer,0
472,2394,20,120.92,2023-12-05,transfer,0
473,1755,18,25.13,2023-02-14,withdrawal,0
474,352,78,19.93,2024-02-21,payment,0
475,1754,88,59.75,2024-11-21,transfer,0
476,75,55,451.19,2024-02-24,payment,0
477,1120,87,6.0,2023-04-16,payment,0
478,6033,84,66.98,2023-04-10,payment,0
479,381,6,21.59,2024-07-10,payment,0
480,2719,9,71.63,2024-07-29,payment,0
481,4051,21,194.46,2023-08-10,transfer,0
482,4961,1,20.25,2023-08-27,payment,0
483,801,92,33.94,2023-08-24,payment,0
484,2705,78,343.51,2023-08-14,payment,0
485,1780,31,51.0,2023-10-29,withdrawal,0
486,7231,19,491.42,2024-10-25,withdrawal,0
487,1635,24,38.11,2024-12-10,payment,0
488,6657,78,83.37,2024-01-06,payment,0
489,2406,85,23.67,2024-07-29,payment,0
490,6250,69,22.5,2023-09-29,payment,0
491,3102,90,45.81,2023-10-13,payment,0
492,3621,20,11.69,2023-08-15,transfer,0
493,5346,67,209.65,2024-04-08,transfer,0
494,5280,40,10.76,2023-03-25,payment,0
495,1150,37,102.59,2023-09-20,payment,0
496,3368,36,329.08,2023-06-10,payment,0
497,943,100,182.3,2024-07-03,payment,0
498,1749,50,139.68,2023-03-18,payment,0
499,6759,53,100.35,2023-09-23,withdrawal,0
500,3429,84,147.72,2023-09-09,withdrawal,0
501,305,93,16.64,2024-05-18,transfer,0
502,5018,54,31.83,2024-09-25,transfer,0
503,6061,49,132.09,2024-08-27,payment,0
504,6899,83,18.58,2023-09-22,payment,0
505,6989,24,30.45,2023-01-05,payment,0
506,3434,90,146.72,2024-08-10,payment,0
507,24,70,44.25,2023-12-28,payment,0
508,1704,76,138.53,2023-05-08,transfer,0
509,5139,18,30.0,2024-03-01,payment,0
510,3111,20,114.02,2024-03-01,payment,0
511,2936,32,24.86,2023-07-28,payment,0
512,3629,68,239.26,2024-03-01,payment,1
513,2409,85,21.54,2024-04-15,payment,0
514,952,98,44.02,2024-11-10,transfer,0
515,31,83,13.81,2024-12-13,payment,0
516,7235,72,6.69,2023-05-21,payment,0
517,1561,52,63.74,2023-09-28,transfer,0
518,494,93,372.87,2023-12-30,payment,0
519,1701,65,37.71,2024-05-01,withdrawal,0
520,1221,11,13.02,2024-02-24,transfer,0
521,329,55,44.04,2024-04-19,payment,0
522,7105,91,157.7,2024-06-26,payment,0
523,964,10,192.39,2024-11-25,payment,0
524,4291,47,59.71,2023-11-14,payment,0
525,2282,77,144.28,2023-05-04,transfer,0
526,5257,12,153.54,2024-06-25,payment,0
527,4358,21,21.32,2024-01-11,withdrawal,0
528,1467,39,47.31,2023-12-27,withdrawal,0
529,1209,19,46.76,2024-01-06,payment,0
530,2644,13,336.03,2023-02-08,withdrawal,0
531,4671,87,146.61,2023-03-19,payment,0
532,5476,95,6.57,2024-02-27,payment,0
533,3305,68,34.43,2023-12-12,withdrawal,0
534,54,76,12.85,2023-12-10,payment,0
535,6492,98,100.9,2024-06-22,payment,0
536,3639,96,20.09,2024-05-06,withdrawal,0
537,5987,45,428.65,2024-10-15,withdrawal,0
538,3058,5,196.91,2024-12-29,payment,0
539,3173,10,28.67,2024-10-27,transfer,0
540,857,25,130.08,2023-11-23,withdrawal,0
541,4951,12,68.42,2024-10-16,payment,0
542,4696,88,32.51,2024-07-23,payment,0
543,6275,27,33.24,2023-10-13,payment,0
544,3624,53,190.57,2023-01-01,payment,0
545,3309,38,490.41,2024-03-26,payment,0
546,3254,45,110.54,2024-10-30,payment,0
547,7149,35,167.91,2023-08-30,payment,1
548,2626,94,30.06,2024-12-27,transfer,0
549,7394,75,11.53,2023-04-11,payment,0
550,7232,18,463.2,2023-12-18,payment,0
551,7419,5,193.89,2024-04-24,payment,0
552,4053,91,15.22,2024-09-11,withdrawal,0
553,4241,14,8.67,2024-01-08,withdrawal,0
554,1584,20,309.31,2024-11-13,withdrawal,0
555,557,29,232.91,2024-07-11,payment,0
556,1379,59,67.22,2023-06-24,payment,0
557,1,45,104.26,2024-01-23,payment,0
558,3584,14,121.19,2023-06-01,withdrawal,0
559,1514,62,47.73,2023-12-28,payment,0
560,1419,5,71.0,2023-03-09,withdrawal,0
561,3660,51,111.48,2024-12-01,withdrawal,0
562,4450,45,24.52,2024-10-16,payment,0
563,1889,68,32.84,2024-08-30,withdrawal,0
564,316,71,144.16,2023-03-03,payment,0
565,4501,93,18.91,2023-05-18,withdrawal,0
566,1001,98,49.71,2024-09-26,payment,0
567,966,97,43.68,2023-01-22,payment,0
568,1938,87,162.93,2023-12-13,payment,0
569,582,7,378.53,2024-09-22,withdrawal,0
570,2499,31,441.31,2024-10-07,payment,0
571,3879,13,110.83,2024-06-25,payment,0
572,1293,54,256.62,2024-02-09,payment,1
573,486,17,309.78,2024-11-21,payment,0
574,6088,22,43.24,2024-08-26,withdrawal,0
575,2998,40,198.91,2024-02-02,payment,0
576,3846,8,135.89,2024-07-01,withdrawal,0
577,5336,78,44.02,2024-12-03,payment,0
578,6792,68,40.26,2023-10-09,transfer,0
579,939,43,88.1,2024-09-10,payment,0
580,6370,13,120.63,2023-11-29,withdrawal,1
581,4410,29,16.26,2024-05-04,transfer,0
582,1417,27,7.4,2023-01-12,transfer,0
583,6088,14,20.1,2024-02-19,withdrawal,0
584,1243,73,28.02,2024-05-29,payment,0
